Country Name,Country Code,Indicator Code,year,value
Australia,AUS,GOV_WGI_PV_EST,2020,0.8859397
Australia,AUS,GOV_WGI_RL_EST,2020,1.5521387
Australia,AUS,SE.TER.ENRR,2020,110.139221191406
Australia,AUS,IP.JRN.ARTC.SC,2020,57901.21
Austria,AUT,GOV_WGI_CC_EST,2020,1.6059221
Austria,AUT,IT.NET.BBND.P2,2020,29.2106456326106
Austria,AUT,NY.GDP.PCAP.PP.CD,2020,58523.03378162456
Austria,AUT,TX.VAL.TECH.MF.ZS,2020,12.27189576604459
Austria,AUT,IT.CEL.SETS.P2,2020,120.131806593244
Austria,AUT,GOV_WGI_PV_EST,2020,0.8186312
Austria,AUT,GOV_WGI_RL_EST,2020,1.7481079
Austria,AUT,SE.TER.ENRR,2020,88.7071990966797
Austria,AUT,IP.JRN.ARTC.SC,2020,13440.62
Azerbaijan,AZE,GOV_WGI_CC_EST,2020,-0.7598072
Azerbaijan,AZE,IT.NET.BBND.P2,2020,19.5985750948022
Azerbaijan,AZE,NY.GDP.PCAP.PP.CD,2020,15163.570332728206
Azerbaijan,AZE,TX.VAL.TECH.MF.ZS,2020,7.067279517222984
Azerbaijan,AZE,IT.CEL.SETS.P2,2020,101.596683471276
Azerbaijan,AZE,GOV_WGI_PV_EST,2020,-0.5087721
Azerbaijan,AZE,GOV_WGI_RL_EST,2020,-0.6182094
Azerbaijan,AZE,SE.TER.ENRR,2020,36.3854742250215
Azerbaijan,AZE,IP.JRN.ARTC.SC,2020,1057.42
"Bahamas, The",BHS,GOV_WGI_CC_EST,2020,1.2128533
"Bahamas, The",BHS,IT.NET.BBND.P2,2020,20.9668496424268
"Bahamas, The",BHS,NY.GDP.PCAP.PP.CD,2020,27204.625909517963
"Bahamas, The",BHS,TX.VAL.TECH.MF.ZS,2020,3.0447626025239987
"Bahamas, The",BHS,IT.CEL.SETS.P2,2020,117.717493173143
"Bahamas, The",BHS,GOV_WGI_PV_EST,2020,0.7133519
"Bahamas, The",BHS,GOV_WGI_RL_EST,2020,0.3141962
"Bahamas, The",BHS,SE.TER.ENRR,2020,
"Bahamas, The",BHS,IP.JRN.ARTC.SC,2020,21.42
Bahrain,BHR,GOV_WGI_CC_EST,2020,-0.0925165999999999
Bahrain,BHR,IT.NET.BBND.P2,2020,10.1824112975928
Bahrain,BHR,NY.GDP.PCAP.PP.CD,2020,53436.03169997117
Bahrain,BHR,TX.VAL.TECH.MF.ZS,2020,8.973661055879925
