era,task,model,RMSE,RMSE_sd,MAE,R2,R2_sd,accuracy,precision,recall,f1,roc_auc,baseline_accuracy
Pre-2025,regression,Linear Regression,8.277407658683916,1.45793790043112,6.325584693309357,0.7557835719412437,0.06423040659470657,,,,,,
Pre-2025,regression,Random Forest,5.9160972339320805,0.9835788768802375,4.625787212939414,0.8667498555916782,0.057496359773760136,,,,,,
Pre-2025,classification,Logistic Regression,,,,,,0.8712516087516088,0.8256095366621683,0.7710286658290288,0.7958330946789622,0.9494288956752606,0.667262969588551
Pre-2025,classification,Random Forest,,,,,,0.8981177606177606,0.8773136719221443,0.8061852575736423,0.8361662257495592,0.9542634300592312,0.667262969588551
2025,regression,Linear Regression,12.166974873069119,1.8364665042057615,9.694698261019164,0.5537488728042652,0.14604202986800083,,,,,,
2025,regression,Random Forest,6.551446898877074,0.6657276998893251,5.246850868196139,0.8691160394351023,0.04616540821915468,,,,,,
2025,classification,Logistic Regression,,,,,,0.8611336032388663,0.8158585858585858,0.7354411764705883,0.769038927965074,0.9286176701989384,0.6649484536082475
2025,classification,Random Forest,,,,,,0.9074224021592443,0.8809920634920635,0.8304411764705882,0.85366298811545,0.9789575545815072,0.6649484536082475
