era,n_test,lr_rmse,rf_rmse,lr_r2,rf_r2
Pre-2025,113,7.5530880503198015,4.570299697698228,0.7618110244838672,0.9127908765838798
2025,39,11.087811923289143,6.107012267247191,0.6310851280936417,0.888084034273209
