,label,count,mean,std,min,25%,50%,75%,max
GOV_WGI_CC_EST,Control of Corruption,1023.0,-0.02014966187683218,0.9915396237385291,-2.0647211,-0.7755375499999995,-0.191792799999999,0.6906957,2.3171626
GOV_WGI_PV_EST,Political Stability & Absence of Violence,1025.0,-0.006012637560975167,0.9798349714070407,-2.7505641,-0.5795614,0.0588855,0.8536507,1.7581458
GOV_WGI_RL_EST,Rule of Law,1025.0,-0.036643888975609114,0.9998465136221368,-2.3520631,-0.8335984,-0.153011099999999,0.7437613,2.108953
IP.JRN.ARTC.SC,Scientific & Technical Journal Articles (count),784.0,15743.862806122448,69624.82811930994,0.0,57.96,500.235,7768.8975,932711.93
IT.CEL.SETS.P2,Mobile Cellular Subscriptions (per 100),946.0,113.11496080729187,41.31243677821483,19.7090231491436,91.68702400773732,114.51771758067599,132.12983829576726,574.152332512188
IT.NET.BBND.P2,Fixed Broadband Subscriptions (per 100),931.0,17.7392240812182,15.777826274010227,0.0,2.0848308438813,14.4912960130678,31.1861189208975,60.9747666781887
NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (USD)",977.0,28188.054710920816,28196.221595413088,958.1355994900838,6577.512177283893,17682.73145374831,42576.40607994567,155941.28821079066
SE.TER.ENRR,Tertiary Enrolment (% gross),615.0,53.09632283273705,30.266148856973125,2.39798041885226,26.7597290850082,53.8761747562613,75.4544219970703,166.389556884766
TX.VAL.TECH.MF.ZS,High-Technology Exports (% of manuf. exports),779.0,11.372366542992877,14.03440869726853,0.0,2.10683395686239,6.443444620248502,15.94613623339012,85.52322838695822
