Country Code,year,IT.NET.BBND.P2
GIB,2022,60.9747666781887
GIB,2021,59.8567475174996
GIB,2020,58.0792303651895
CYM,2022,56.3604363676998
MCO,2023,55.8835609405483
MCO,2024,55.6780823690818
MCO,2022,55.2284811589736
MCO,2021,54.9173307031433
MCO,2020,54.8672798948752
AND,2024,52.3554394786302
