,coef,std_err,t,p_value
Control of Corruption,2.0621884778541,0.8929965683890494,2.3092904842560067,0.02092746734404257
Political Stability,-4.589764362285596,0.8050949779275149,-5.700898015909405,1.1917792308496786e-08
Fixed Broadband,-0.10623617880156784,0.06764971265808652,-1.570386253353419,0.11632527858720897
Mobile Subscriptions,-0.01017411759099332,0.017583814341881023,-0.5786069730479734,0.5628543985915697
GDP per capita,1.7441013845753426e-05,2.6235847588512358e-05,0.6647779831359502,0.5061925067426981
Tertiary Enrolment,0.059005948360717805,0.024570963041829125,2.401450372957187,0.016330223959519174
Journal Articles,7.982300033940507e-06,2.7603644559412948e-06,2.8917558392551146,0.0038309553990217237
High-Tech Exports,0.0036667380902367084,0.0530012189285222,0.06918214645556918,0.9448446341190926
