era,predictor,perm_importance_regression_r2,perm_importance_regression_r2_std,perm_importance_classification_acc,perm_importance_classification_acc_std
Pre-2025,Control of Corruption,0.09744466957218058,0.015050047216986245,0.03421828908554573,0.01365880460506219
Pre-2025,Political Stability,0.005641698280342563,0.003200628515034812,0.009439528023598836,0.0096762356736618
Pre-2025,Fixed Broadband,0.01340989305354939,0.004211322366374568,0.024778761061946923,0.015225354454942698
Pre-2025,Mobile Subscriptions,0.0035224319216160095,0.0012931078192454503,0.002359882005899709,0.009120722615776006
Pre-2025,GDP per capita,0.225401424305267,0.02768131883212173,0.020943952802359906,0.013022855489465562
Pre-2025,Tertiary Enrolment,0.02020397850785615,0.003649109937635092,0.02536873156342184,0.017361579905088086
Pre-2025,Journal Articles (log),0.5259460079631184,0.0654123867374592,0.14306784660766964,0.031169487786524022
Pre-2025,High-Tech Exports,0.00961515567950486,0.0025847626153581702,0.0026548672566371724,0.010256836962073
2025,Control of Corruption,0.026373757027588176,0.01480723610352105,0.0017094017094017107,0.006395995532946912
2025,Political Stability,0.0034932372586595093,0.005317329776113495,0.016239316239316254,0.014018136296458738
2025,Fixed Broadband,0.017803890068126996,0.010838829286718827,0.001709401709401733,0.01864737113612941
2025,Mobile Subscriptions,0.0007550247679451153,0.004970379613386555,0.0,0.0
2025,GDP per capita,0.02939195416701246,0.014272053603545876,0.02051282051282054,0.024234951929500554
2025,Tertiary Enrolment,0.005368970383554513,0.006167718605418005,0.010256410256410275,0.019415071267693235
2025,Journal Articles (log),1.0276924107444967,0.1687210831541723,0.20683760683760694,0.06172810285561635
2025,High-Tech Exports,0.01222685113228945,0.008306398215817678,0.00940170940170942,0.016857335831894023
