Country Code,year,IT.CEL.SETS.P2
FJI,2024,574.152332512188
HKG,2024,364.848981963231
FJI,2023,361.048644963723
HKG,2021,319.852066930488
HKG,2023,319.493898344345
HKG,2022,292.80765987826
HKG,2020,291.916274990037
MAC,2020,237.343774476003
MNE,2024,221.687322527444
MNE,2022,207.278149444886
