country_raw,year,readiness_rank,readiness_score,era
United States of America,2021,1,88.15961153,0
Singapore,2021,2,82.45681323,0
United Kingdom,2021,3,81.25074503,0
Finland,2021,4,79.23374229,0
Netherlands,2021,5,78.50681097,0
Sweden,2021,6,78.1646107,0
Canada,2021,7,77.73085276,0
Germany,2021,8,77.26444673,0
Denmark,2021,9,76.95991775,0
Republic of Korea,2021,10,76.54734155,0
France,2021,11,76.41358024,0
Japan,2021,12,76.17752679,0
Norway,2021,13,76.13517078,0
Australia,2021,14,75.40980096,0
China,2021,15,74.42075762,0
Luxembourg,2021,16,73.37376397,0
Ireland,2021,17,72.79927998,0
Taiwan,2021,18,71.97943147,0
United Arab Emirates,2021,19,71.59684283,0
Israel,2021,20,70.00840751,0
Estonia,2021,21,69.18310231,0
Switzerland,2021,22,68.56419978,0
New Zealand,2021,23,68.08408201,0
Austria,2021,24,68.07358716,0
Spain,2021,25,67.67652903,0
Qatar,2021,26,67.18031989,0
Italy,2021,27,67.07136413,0
Belgium,2021,28,66.16481528,0
Czech Republic,2021,29,65.95432334,0
Lithuania,2021,30,65.19059203,0
Slovenia,2021,31,65.0527651,0
Malta,2021,32,64.84862898,0
Portugal,2021,33,64.31109865,0
Saudi Arabia,2021,34,63.41823204,0
Poland,2021,35,62.50277705,0
Malaysia,2021,36,62.45903786,0
Latvia,2021,37,62.2662637,0
Russian Federation,2021,38,61.93369511,0
Slovakia,2021,39,61.622784,0
Brazil,2021,40,60.63532,0
Chile,2021,41,60.41748563,0
Bulgaria,2021,42,60.06809672,0
Hungary,2021,43,59.71500633,0
Cyprus,2021,44,59.71494208,0
Colombia,2021,45,58.91032079,0
Iceland,2021,46,58.52549589,0
Indonesia,2021,47,58.13597168,0
Uruguay,2021,48,57.92660526,0
Oman,2021,49,57.25811351,0
Greece,2021,50,56.22319444,0
India,2021,51,56.10603803,0
Serbia,2021,52,55.9756157,0
Turkey,2021,53,55.48568205,0
Argentina,2021,54,54.35665427,0
Bahrain,2021,55,53.53874411,0
Romania,2021,56,53.22358321,0
Brunei Darussalam,2021,57,52.92662721,0
Mauritius,2021,58,52.71322634,0
Thailand,2021,59,52.62806047,0
Mexico,2021,60,52.62055216,0
Croatia,2021,61,52.29801885,0
Viet Nam,2021,62,51.81976952,0
Kuwait,2021,63,50.96595392,0
Ukraine,2021,64,50.57953842,0
Egypt,2021,65,49.75186942,0
Kazakhstan,2021,66,48.42782516,0
Azerbaijan,2021,67,48.26467933,0
South Africa,2021,68,48.23683389,0
Fiji,2021,69,48.16911225,0
Seychelles,2021,70,47.47717158,0
Philippines,2021,71,47.204124,0
Iran,2021,72,46.2258541,0
Belarus,2021,73,46.19630163,0
Costa Rica,2021,74,46.18967035,0
Montenegro,2021,75,46.09707305,0
Armenia,2021,76,45.92539398,0
Tunisia,2021,77,45.71261411,0
Kenya,2021,78,45.53691503,0
Georgia,2021,79,45.41491686,0
Jordan,2021,80,44.37804843,0
North Macedonia,2021,81,43.72643901,0
Panama,2021,82,42.98152532,0
Albania,2021,83,42.89921225,0
Morocco,2021,84,42.37957443,0
Barbados,2021,85,42.19622123,0
Republic of Moldova,2021,86,41.70704681,0
Jamaica,2021,87,41.49969775,0
Sri Lanka,2021,88,41.1170847,0
Dominican Republic,2021,89,40.88594812,0
Trinidad and Tobago,2021,90,40.77693238,0
Peru,2021,91,40.55691787,0
Ghana,2021,92,40.19417706,0
Uzbekistan,2021,93,40.13268957,0
Lebanon,2021,94,39.66701083,0
Ecuador,2021,95,39.19079497,0
Bosnia and Herzegovina,2021,96,38.67179055,0
Suriname,2021,97,38.58378245,0
Tajikistan,2021,98,38.48615463,0
Algeria,2021,99,37.92372769,0
Kyrgyzstan,2021,100,37.60655564,0
Maldives,2021,101,37.46980713,0
Paraguay,2021,102,37.347056,0
Mongolia,2021,103,37.19721197,0
Iraq,2021,104,36.93068457,0
Côte D'Ivoire,2021,105,36.70624068,0
Saint Lucia,2021,106,36.60854493,0
Gabon,2021,107,36.50752942,0
Senegal,2021,108,36.33866393,0
Botswana,2021,109,36.32851619,0
Bangladesh,2021,110,36.09945532,0
Cabo Verde,2021,111,36.0725509,0
Rwanda,2021,112,35.15812223,0
Nigeria,2021,113,35.15364591,0
Lao People's Democratic Republic,2021,114,34.93069603,0
Honduras,2021,115,34.91378879,0
Papua New Guinea,2021,116,34.75322378,0
Pakistan,2021,117,34.02797097,0
Bhutan,2021,118,34.02464587,0
Cambodia,2021,119,33.35277841,0
Namibia,2021,120,33.13770727,0
United Republic of Tanzania,2021,121,32.69103588,0
Togo,2021,122,32.67579787,0
El Salvador,2021,123,32.41093072,0
Belize,2021,124,32.27647959,0
Guatemala,2021,125,32.25324754,0
Burkina Faso,2021,126,32.24337189,0
Nepal,2021,127,31.92381466,0
Cameroon,2021,128,31.88317068,0
Uganda,2021,129,31.75694309,0
Bolivia,2021,130,31.62091026,0
Nicaragua,2021,131,31.57349015,0
Myanmar,2021,132,31.56724078,0
Zambia,2021,133,31.21443781,0
Venezuela,2021,134,30.53735761,0
Gambia,2021,135,30.45293732,0
Congo,2021,136,30.419714,0
Cuba,2021,137,30.37906954,0
Mali,2021,138,30.13971936,0
Lesotho,2021,139,29.84210131,0
Eswatini,2021,140,29.75608844,0
Mauritania,2021,141,29.6239225,0
Madagascar,2021,142,29.5299684,0
Sierra Leone,2021,143,29.39077071,0
Zimbabwe,2021,144,29.14901401,0
Benin,2021,145,28.7305943,0
Liberia,2021,146,28.13823481,0
Ethiopia,2021,147,27.9477856,0
Niger,2021,148,27.80891145,0
Guinea,2021,149,27.54707074,0
Mozambique,2021,150,26.23467412,0
Sudan,2021,151,25.91396992,0
Haiti,2021,152,25.13503439,0
Malawi,2021,153,24.84849018,0
Afghanistan,2021,154,24.37809891,0
Chad,2021,155,24.00477702,0
Burundi,2021,156,23.7171165,0
Democratic Republic of the Congo,2021,157,23.32239331,0
Angola,2021,158,22.86557857,0
Central African Republic,2021,159,20.73444159,0
Yemen,2021,160,17.92941373,0
United States of America,2022,1,85.72133804,0
