,Pre-2025,2025
Political Stability,-0.12780190197952335,-0.37767484854892946
Fixed Broadband,0.07999073772305164,-0.012122165704352317
High-Tech Exports,0.10340005469969682,0.10580351645925772
Mobile Subscriptions,0.12813256205516613,0.10710184370778367
Journal Articles,0.1507984788832508,0.18465418344826265
GDP per capita,0.2364078486632554,0.2641460687091669
Tertiary Enrolment,0.27059501269580527,0.37077117312980234
Control of Corruption,0.3161200278233454,0.4319693961654245
