Country Code,year,SE.TER.ENRR
GRC,2022,166.389556884766
GRC,2023,165.113418579102
GRC,2021,150.605484008789
GRC,2020,143.693344116211
MAC,2024,141.864795918367
MAC,2023,129.151041666667
TUR,2022,127.577972412109
TUR,2021,125.763786315918
CYP,2024,120.87727355957
HKG,2024,120.08978583196
