Country Name,Country Code,Indicator Code,2020,2021,2022,2023,2024,2025
East Asia & Pacific,EAS,IP.JRN.ARTC.SC,1015367.071357644,1124976.3938955097,1256163.9718434832,1304926.563111821,,
East Asia & Pacific (excluding high income),EAP,GOV_WGI_CC_EST,,,,,,
East Asia & Pacific (excluding high income),EAP,IT.NET.BBND.P2,25.05,27.78,30.38,32.48,34.15,35.91
East Asia & Pacific (excluding high income),EAP,NY.GDP.PCAP.PP.CD,16013.657533154452,17966.23221158597,19926.10473430084,21666.586245648028,23248.02517943682,
East Asia & Pacific (excluding high income),EAP,TX.VAL.TECH.MF.ZS,32.59172231433772,31.17148279093872,30.103619764428743,29.386725870435043,27.96734101899565,
East Asia & Pacific (excluding high income),EAP,IT.CEL.SETS.P2,123.8,124.9,125.5,126.9,128.2,129.8
East Asia & Pacific (excluding high income),EAP,GOV_WGI_PV_EST,,,,,,
East Asia & Pacific (excluding high income),EAP,GOV_WGI_RL_EST,,,,,,
East Asia & Pacific (excluding high income),EAP,SE.TER.ENRR,50.3684883117676,53.9938011169434,57.4992599487305,60.2147789001465,61.7415199279785,
East Asia & Pacific (excluding high income),EAP,IP.JRN.ARTC.SC,736981.6900000001,832191.5600000002,968538.5599999998,1028869.74,,
East Asia & Pacific (IDA & IBRD countries),TEA,GOV_WGI_CC_EST,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,IT.NET.BBND.P2,25.36,28.12,30.76,32.88,34.57,36.36
East Asia & Pacific (IDA & IBRD countries),TEA,NY.GDP.PCAP.PP.CD,16192.999775983544,18167.529889649828,20149.68832889084,21910.110755406666,23509.724165115396,
East Asia & Pacific (IDA & IBRD countries),TEA,TX.VAL.TECH.MF.ZS,32.59172231433772,31.17148279093873,30.103619764428743,29.38672587043506,27.96734101899565,
East Asia & Pacific (IDA & IBRD countries),TEA,IT.CEL.SETS.P2,125.0,126.2,126.8,128.1,129.5,131.0
East Asia & Pacific (IDA & IBRD countries),TEA,GOV_WGI_PV_EST,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,GOV_WGI_RL_EST,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,SE.TER.ENRR,50.6974411010742,54.3689193725586,57.9160804748535,60.657829284668,62.1942710876465,
East Asia & Pacific (IDA & IBRD countries),TEA,IP.JRN.ARTC.SC,736812.4682122016,831959.3380751102,968298.3898305796,1028606.6389886036,,
Euro area,EMU,GOV_WGI_CC_EST,,,,,,
Euro area,EMU,IT.NET.BBND.P2,38.913462969870274,39.90717378857504,40.88906306724944,,,
Euro area,EMU,NY.GDP.PCAP.PP.CD,49691.29426691517,54187.88528141815,60990.03646103881,64036.32439615566,66097.02072201764,
Euro area,EMU,TX.VAL.TECH.MF.ZS,16.3735922304896,16.896029087922678,19.77934991455519,19.872728898279615,21.292741783922303,
Euro area,EMU,IT.CEL.SETS.P2,121.4255451573108,123.00570774828442,123.50492257475425,,,
Euro area,EMU,GOV_WGI_PV_EST,,,,,,
Euro area,EMU,GOV_WGI_RL_EST,,,,,,
Euro area,EMU,SE.TER.ENRR,76.9254837036133,79.9525680541992,81.6640472412109,81.8938369750977,81.8938369750977,
Euro area,EMU,IP.JRN.ARTC.SC,452295.0100000001,482257.8300000002,467379.16000000015,457629.39000000025,,
Europe & Central Asia,ECS,GOV_WGI_CC_EST,,,,,,
Europe & Central Asia,ECS,IT.NET.BBND.P2,29.8,30.85,31.57,32.56,33.47,34.45
Europe & Central Asia,ECS,NY.GDP.PCAP.PP.CD,38031.37039329633,42315.38608749031,47640.048746179295,50252.44901266789,52463.14658038396,
Europe & Central Asia,ECS,TX.VAL.TECH.MF.ZS,15.882323639899868,16.118506799846877,19.95290115140838,20.19970800189309,21.440139588342053,
Europe & Central Asia,ECS,IT.CEL.SETS.P2,123.3,126.0,126.6,130.2,132.4,134.6
Europe & Central Asia,ECS,GOV_WGI_PV_EST,,,,,,
Europe & Central Asia,ECS,GOV_WGI_RL_EST,,,,,,
Europe & Central Asia,ECS,SE.TER.ENRR,75.6536102294922,79.1505813598633,81.0477066040039,81.5205917358398,84.8905563354492,
Europe & Central Asia,ECS,IP.JRN.ARTC.SC,854358.90601027,905458.3363285888,873857.9663259286,865613.318582845,,
Europe & Central Asia (excluding high income),ECA,GOV_WGI_CC_EST,,,,,,
Europe & Central Asia (excluding high income),ECA,IT.NET.BBND.P2,17.68,19.15,20.13,21.79,23.11,24.53
Europe & Central Asia (excluding high income),ECA,NY.GDP.PCAP.PP.CD,19787.107499889906,22121.825833236337,25117.992761183523,27541.82468332927,29333.2558966594,
Europe & Central Asia (excluding high income),ECA,TX.VAL.TECH.MF.ZS,7.64839896827252,6.385866673759737,8.302825460399374,9.236498205144388,10.674293868197656,
Europe & Central Asia (excluding high income),ECA,IT.CEL.SETS.P2,106.3,109.9,110.0,113.2,115.4,117.3
Europe & Central Asia (excluding high income),ECA,GOV_WGI_PV_EST,,,,,,
Europe & Central Asia (excluding high income),ECA,GOV_WGI_RL_EST,,,,,,
Europe & Central Asia (excluding high income),ECA,SE.TER.ENRR,74.5084381103516,77.9448471069336,79.0034332275391,79.1041488647461,85.1110763549805,
Europe & Central Asia (excluding high income),ECA,IP.JRN.ARTC.SC,70937.45000000001,79304.32000000002,81860.82999999999,87222.39,,
Europe & Central Asia (IDA & IBRD countries),TEC,GOV_WGI_CC_EST,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,IT.NET.BBND.P2,20.51,21.68,22.66,24.09,25.36,26.72
Europe & Central Asia (IDA & IBRD countries),TEC,NY.GDP.PCAP.PP.CD,25836.40426070447,29887.28365382632,33015.057672503615,35796.11556048479,38139.12157303463,
Europe & Central Asia (IDA & IBRD countries),TEC,TX.VAL.TECH.MF.ZS,9.118861552187536,8.687713504159419,,10.769209350803331,12.078401045918376,
Europe & Central Asia (IDA & IBRD countries),TEC,IT.CEL.SETS.P2,126.7,130.9,131.1,136.8,139.6,142.4
Europe & Central Asia (IDA & IBRD countries),TEC,GOV_WGI_PV_EST,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,GOV_WGI_RL_EST,,,,,,
